Date,Close
3/3/2015,119.01
3/4/2015,119.24
3/5/2015,119.22
3/6/2015,117.96
3/9/2015,114.83
3/10/2015,112.29
3/11/2015,112.9
3/12/2015,113.04
3/13/2015,112.36
3/16/2015,113.27
3/17/2015,112.59
3/18/2015,114.27
3/19/2015,114.56
3/20/2015,116.35
3/23/2015,115.42
3/24/2015,115.02
3/25/2015,112.9
3/26/2015,112.23
3/27/2015,113.87
3/30/2015,115.26
3/31/2015,114.94
4/1/2015,114.31
4/2/2015,113.71
4/6/2015,111.74
4/7/2015,113.12
4/8/2015,113.43
4/9/2015,116.09
4/10/2015,113.82
4/13/2015,113.64
4/14/2015,113.34
4/15/2015,117.11
4/16/2015,118.09
4/17/2015,116.22
4/20/2015,117.43
4/21/2015,118.93
4/22/2015,120.42
4/23/2015,122.4
4/24/2015,123.18
4/27/2015,123.47
4/28/2015,125.59
4/29/2015,123.75
4/30/2015,122.02
5/1/2015,123.37
5/4/2015,124.41
5/5/2015,121.96
5/6/2015,122.98
5/7/2015,124.43
5/8/2015,126.05
5/11/2015,126.28
5/12/2015,125.03
5/13/2015,126.24
5/14/2015,127.6
5/15/2015,127.79
5/18/2015,127.35
5/19/2015,126.93
5/20/2015,126.96
5/21/2015,126.9
5/22/2015,126.77
5/26/2015,126.08
5/27/2015,125.96
5/28/2015,126.83
5/29/2015,125.69
6/1/2015,125.11
6/2/2015,125.26
6/3/2015,126.25
6/4/2015,124.58
6/5/2015,124.52
6/8/2015,124.85
6/9/2015,124.69
6/10/2015,126.93
6/11/2015,126.48
6/12/2015,125.19
6/15/2015,125.81
6/16/2015,126.32
6/17/2015,126.48
6/18/2015,126.94
6/19/2015,126.92
6/22/2015,127.88
6/23/2015,127.54
6/24/2015,126.04
6/25/2015,126.55
6/26/2015,123.57
6/29/2015,120.05
6/30/2015,120.35
7/1/2015,120.26
7/2/2015,120.44
7/6/2015,117.55
7/7/2015,118.32
7/8/2015,117.84
7/9/2015,115.35
7/10/2015,116.39
7/13/2015,116.99
7/14/2015,118.25
7/15/2015,117.85
7/16/2015,117.93
7/17/2015,116.28
7/20/2015,116.26
7/21/2015,118.27
7/22/2015,118.5
7/23/2015,127.68
7/24/2015,127.49
7/27/2015,127.81
7/28/2015,131.52
7/29/2015,132.49
7/30/2015,134.31
7/31/2015,134.14
8/3/2015,131.2
8/4/2015,131.36
8/5/2015,132.2
8/6/2015,129.85
8/7/2015,130.36
8/10/2015,132.34
8/11/2015,131.37
8/12/2015,132.71
8/13/2015,131.63
8/14/2015,132.61
8/17/2015,133.86
8/18/2015,133
8/19/2015,132.75
8/20/2015,126.56
8/21/2015,122.51
8/24/2015,117.47
8/25/2015,117.47
8/26/2015,122.45
8/27/2015,122.79
8/28/2015,122.97
8/31/2015,121.41
9/1/2015,118.39
9/2/2015,121
9/3/2015,121.24
9/4/2015,118.84
9/8/2015,121.71
9/9/2015,119.89
9/10/2015,119.74
9/11/2015,118.17
