Date,Close
3/3/2015,148.9
3/4/2015,143.51
3/5/2015,143.14
3/6/2015,140.73
3/9/2015,138.73
3/10/2015,138.55
3/11/2015,140.56
3/12/2015,141.34
3/13/2015,141.34
3/16/2015,144.13
3/17/2015,144.92
3/18/2015,145.16
3/19/2015,146.19
3/20/2015,144.08
3/23/2015,141.32
3/24/2015,140.28
3/25/2015,138.62
3/26/2015,141.45
3/27/2015,146.44
3/30/2015,148.61
3/31/2015,146.08
4/1/2015,141.53
4/2/2015,141.81
4/6/2015,141.64
4/7/2015,144.83
4/8/2015,147.27
4/9/2015,146.05
4/10/2015,147.97
4/13/2015,145.15
4/14/2015,144.54
4/15/2015,144.71
4/16/2015,146.79
4/17/2015,142.5
4/20/2015,146.51
4/21/2015,154.37
4/22/2015,153.87
4/23/2015,154.78
4/24/2015,153.84
4/27/2015,153.83
4/28/2015,153.28
4/29/2015,152.02
4/30/2015,147.72
5/1/2015,150.82
5/4/2015,152.77
5/5/2015,147.03
5/6/2015,145.8
5/7/2015,149.41
5/8/2015,151.1
5/11/2015,151.82
5/12/2015,151.67
5/13/2015,151.48
5/14/2015,153.71
5/15/2015,154.72
5/18/2015,157.73
5/19/2015,158.33
5/20/2015,158.52
5/21/2015,160.14
5/22/2015,162.87
5/26/2015,163.84
5/27/2015,160.65
5/28/2015,166.37
5/29/2015,169.49
6/1/2015,170.5
6/2/2015,168.5
6/3/2015,169.19
6/4/2015,168.75
6/5/2015,173.59
6/8/2015,172.82
6/9/2015,171.98
6/10/2015,174.67
6/11/2015,174.63
6/12/2015,175.85
6/15/2015,176.84
6/16/2015,176.7
6/17/2015,180.64
6/18/2015,182.88
6/19/2015,184.08
6/22/2015,184.04
6/23/2015,181.93
6/24/2015,179.14
6/25/2015,178.82
6/26/2015,175.26
6/29/2015,171.85
6/30/2015,174.7
7/1/2015,176.14
7/2/2015,173.9
7/6/2015,175.32
7/7/2015,171.51
7/8/2015,172.48
7/9/2015,174.81
7/10/2015,180.8
7/13/2015,181.13
7/14/2015,184.25
7/15/2015,185.14
7/16/2015,190.06
7/17/2015,191.25
7/20/2015,190.03
7/21/2015,192.07
7/22/2015,192.4
7/23/2015,197.09
7/24/2015,196.88
7/27/2015,186.29
7/28/2015,186.83
7/29/2015,183.65
7/30/2015,185.19
7/31/2015,185.83
8/3/2015,184.91
8/4/2015,185.5
8/5/2015,190.27
8/6/2015,174.49
8/7/2015,175.52
8/10/2015,176.96
8/11/2015,173.93
8/12/2015,171
8/13/2015,172.76
8/14/2015,173.54
8/17/2015,175.77
8/18/2015,173.65
8/19/2015,174.12
8/20/2015,160.62
8/21/2015,158.99
8/24/2015,155.01
8/25/2015,158.4
8/26/2015,167.95
8/27/2015,167.78
8/28/2015,168
8/31/2015,164.22
9/1/2015,161.85
9/2/2015,163.59
9/3/2015,162.04
9/4/2015,162.39
9/8/2015,166.47
9/9/2015,165.17
9/10/2015,177.4
9/11/2015,177.39
9/14/2015,179.54
9/15/2015,183.19
9/16/2015,182.55
9/17/2015,184.28
9/18/2015,184.98
9/21/2015,185.4
9/22/2015,180.09
9/23/2015,179.3
9/24/2015,180.77
9/25/2015,180.81
9/28/2015,175.7
9/29/2015,167.81
9/30/2015,172
10/1/2015,171.66
10/2/2015,175.21
10/5/2015,177.24
10/6/2015,174.12
10/7/2015,174.98
10/8/2015,169.59
10/9/2015,171.88
10/12/2015,167.81
10/13/2015,167.13
10/14/2015,164.32
10/15/2015,170.66
10/16/2015,171.78
10/19/2015,167.96
10/20/2015,166.06
10/21/2015,159.81
10/22/2015,166.14
10/23/2015,159.2
10/26/2015,154.11
10/27/2015,158.6
10/28/2015,163.85
10/29/2015,157.9
10/30/2015,161
11/2/2015,164.13
11/3/2015,167.28
11/4/2015,166.41
11/5/2015,159.93
11/6/2015,161.82
11/9/2015,161.21
11/10/2015,157.29
11/11/2015,155.78
11/12/2015,156.7
11/13/2015,156.64
11/16/2015,158.75
11/17/2015,163.17
11/18/2015,163.67
11/19/2015,167.39
11/20/2015,170.97
11/23/2015,172.02
11/24/2015,182.85
11/25/2015,182.21
11/27/2015,185.91
11/30/2015,187.34
12/1/2015,188.94
12/2/2015,190.79
12/3/2015,187.62
12/4/2015,191.67
12/7/2015,192.05
12/8/2015,193.54
12/9/2015,190.08
12/10/2015,189.99
12/11/2015,185.03
12/14/2015,183.69
12/15/2015,185.75
12/16/2015,187.28
12/17/2015,186.57
12/18/2015,182.89
12/21/2015,182.11
12/22/2015,181.65
12/23/2015,181.3
12/24/2015,178.73
12/28/2015,176.64
12/29/2015,177.77
12/30/2015,176.79
12/31/2015,176.14
1/4/2016,171.52
1/5/2016,170.56
1/6/2016,167.31
1/7/2016,164.08
1/8/2016,162.74
1/11/2016,162.02
1/12/2016,161.39
1/13/2016,154
1/14/2016,159.12
1/15/2016,154.82
1/19/2016,149.24
1/20/2016,146.9
1/21/2016,144.6
1/22/2016,148.5
1/25/2016,146.57
1/26/2016,148.27
1/27/2016,146.35
1/28/2016,139.78
1/29/2016,149.49
2/1/2016,150.55
2/2/2016,146.03
2/3/2016,144.75
2/4/2016,145.29
2/5/2016,127.51
2/8/2016,115.69
2/9/2016,118.06
2/10/2016,120.42
2/11/2016,124.37
2/12/2016,123.74
2/16/2016,127.74
2/17/2016,132.67
2/18/2016,123.06
2/19/2016,127.16
2/22/2016,130.14
2/23/2016,127.51
2/24/2016,127.94
2/25/2016,140.29
2/26/2016,147.59
2/29/2016,144.79
3/1/2016,148.64
3/2/2016,148.12
3/3/2016,152.02
3/4/2016,150.97
3/7/2016,154.44
3/8/2016,152.63
3/9/2016,153.15
3/10/2016,150.75
3/11/2016,157.82
3/14/2016,154.97
3/15/2016,153.33
3/16/2016,154.71
3/17/2016,153.69
3/18/2016,155.73
3/21/2016,154.9
3/22/2016,158.43
3/23/2016,154.99
3/24/2016,155.73
3/28/2016,156.19
3/29/2016,159.3
3/30/2016,161.99
3/31/2016,163.14
4/1/2016,161.12
4/4/2016,161.59
4/5/2016,151.92
4/6/2016,158.22
4/7/2016,149.6
4/8/2016,147.85
4/11/2016,140.44
4/12/2016,139.04
4/13/2016,142.08
4/14/2016,140.71
4/15/2016,140.66
4/18/2016,141.54
4/19/2016,140.28
4/20/2016,140.31
4/21/2016,146.45
4/22/2016,148.52
4/25/2016,150.51
4/26/2016,150.8
4/27/2016,156.01
4/28/2016,151.44
4/29/2016,150.87
5/2/2016,151.88
5/3/2016,147.01
5/4/2016,142.07
5/5/2016,140.69
5/6/2016,136.14
5/9/2016,139.25
5/10/2016,140.44
5/11/2016,139.49
5/12/2016,129.53
5/13/2016,130.97
5/16/2016,134.74
5/17/2016,134.07
5/18/2016,136.75
5/19/2016,139.21
5/20/2016,141.76
5/23/2016,143.97
5/24/2016,146.11
5/25/2016,145.69
5/26/2016,148.18
5/27/2016,129.86
5/31/2016,130.46
6/1/2016,134.47
6/2/2016,140.73
6/3/2016,139.64
6/6/2016,139.6
6/7/2016,137.26
6/8/2016,136.97
6/9/2016,134.84
6/10/2016,131.26
6/13/2016,131.71
6/14/2016,130.24
6/15/2016,131.07
6/16/2016,129.96
6/17/2016,128.3
6/20/2016,128.16
6/21/2016,126.87
6/22/2016,124.55
6/23/2016,126.65
6/24/2016,121.78
6/27/2016,116.76
6/28/2016,118.42
6/29/2016,123.2
6/30/2016,122.64
7/1/2016,121.07
7/5/2016,118.88
7/6/2016,119.97
7/7/2016,121.63
7/8/2016,125.94
7/11/2016,128.02
7/12/2016,126.89
7/13/2016,127.34
7/14/2016,124.63
7/15/2016,123.67
7/18/2016,124.03
7/19/2016,125.46
7/20/2016,129.51
7/21/2016,126.6
7/22/2016,129.49
7/25/2016,131.52
7/26/2016,132.96
7/27/2016,131.07
7/28/2016,132.67
7/29/2016,130.89
8/1/2016,128.48
8/2/2016,128.39
8/3/2016,129.61
8/4/2016,131.44
8/5/2016,131.78
8/8/2016,128.4
8/9/2016,130.84
8/10/2016,125.07
8/11/2016,125.47
8/12/2016,127.18
8/15/2016,131
8/16/2016,135.6
8/17/2016,136.1
8/18/2016,137.09
8/19/2016,136.74
8/22/2016,137.54
8/23/2016,142.11
8/24/2016,140.37
8/25/2016,140.39
8/26/2016,140.68
8/29/2016,141.49
8/30/2016,143.45
8/31/2016,133.17
9/1/2016,140.66
9/2/2016,145.18
9/6/2016,144.97
9/7/2016,147.33
9/8/2016,146.98
9/9/2016,144.41
9/12/2016,147.15
9/13/2016,147.06
9/14/2016,148.33
9/15/2016,148.49
9/16/2016,149.1
9/19/2016,150.74
9/20/2016,150.07
9/21/2016,149.62
9/22/2016,152.58
9/23/2016,151.22
9/26/2016,149.84
9/27/2016,151.9
9/28/2016,154.56
9/29/2016,156.08
9/30/2016,159.33
10/3/2016,159.08
10/4/2016,160.02
10/5/2016,161.35
10/6/2016,159.6
10/7/2016,159.92
10/10/2016,159.74
10/11/2016,155.48
10/12/2016,154.22
10/13/2016,151.36
10/14/2016,150.49
10/17/2016,146
10/18/2016,148.46
10/19/2016,148.16
10/20/2016,148.54
10/21/2016,150.17
10/24/2016,151.53
10/25/2016,149.82
10/26/2016,151.45
10/27/2016,149.65
10/28/2016,151.59
10/31/2016,153.83
11/1/2016,151.81
11/2/2016,146.82
11/3/2016,145.6
11/4/2016,148
11/7/2016,152.43
11/8/2016,152.93
11/9/2016,159.02
11/10/2016,151.91
11/11/2016,156.01
11/14/2016,156.45
11/15/2016,159.45
11/16/2016,160.43
11/17/2016,164.15
11/18/2016,161.35
11/21/2016,161.06
11/22/2016,139.73
11/23/2016,139.69
11/25/2016,141.51
11/28/2016,136.26
11/29/2016,133.58
11/30/2016,134.37
12/1/2016,129.62
12/2/2016,126.66
12/5/2016,128.95
